epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.6606,0.63074,2.53673,1.32795,0.0027,1,0.52594,0.37856,0.19068,3.27363,0.8836,2e-05,2e-05,2e-05
2,129.838,0.44772,2.38375,1.08847,0.0027,1,0.66794,0.5017,0.19689,3.26796,0.88922,5.8812e-05,5.8812e-05,5.8812e-05
3,160.88,0.39751,2.31359,1.02138,0.0027,1,0.80549,0.6344,0.23843,3.26143,0.89162,9.604e-05,9.604e-05,9.604e-05
4,198.103,0.33863,2.02899,0.9841,0.0027,1,0.86165,0.70083,0.29533,3.22298,0.90212,0.000131684,0.000131684,0.000131684
5,240.626,0.52693,1.60442,1.06436,0.0027,1,0.96255,0.81285,0.28832,3.13594,0.87882,0.000165744,0.000165744,0.000165744
6,276.403,0.52755,1.54291,1.14908,0.0027,1,0.98974,0.86879,0.25468,2.99355,0.84404,0.00019822,0.00019822,0.00019822
7,326.854,0.38858,1.11775,0.96237,0.00418,1,0.97405,0.85285,0.35542,2.92804,0.90664,0.000229112,0.000229112,0.000229112
8,361.273,0.47989,1.38258,0.99601,0.00396,1,0.93874,0.74699,0.54999,3.08178,1.08614,0.00025842,0.00025842,0.00025842
9,388.15,0.49269,1.54658,1.12318,0.0027,1,0.90557,0.71039,0.60775,3.12893,1.15635,0.000286144,0.000286144,0.000286144
10,421.336,0.56835,1.31276,1.1162,0.04041,1,0.94617,0.82202,0.54346,3.06109,1.11033,0.000312284,0.000312284,0.000312284
11,451.981,0.48185,1.05579,1.05266,0.94578,0.70588,0.97889,0.89083,0.44181,2.85452,1.04887,0.00033684,0.00033684,0.00033684
12,486.734,0.61797,1.30365,1.14011,1,0.65288,0.995,0.89776,0.4277,2.67522,1.0235,0.000359812,0.000359812,0.000359812
13,525.445,0.50171,1.1581,1.03379,1,0.97666,0.995,0.90672,0.42981,2.59303,0.99565,0.0003812,0.0003812,0.0003812
14,569.358,0.54701,1.0856,1.17376,0.98703,1,0.995,0.91252,0.41268,2.5691,0.96832,0.000401004,0.000401004,0.000401004
15,596.654,0.52112,1.10304,1.0644,1,0.89564,0.995,0.94057,0.37216,2.6469,0.9046,0.000419224,0.000419224,0.000419224
16,642.751,0.38374,0.95974,0.95435,0.99422,0.88235,0.95692,0.9041,0.30388,2.78204,0.8654,0.00043586,0.00043586,0.00043586
17,673.334,0.51401,1.39307,1.12897,1,0.81638,0.95426,0.93241,0.30609,2.88289,0.89074,0.000450912,0.000450912,0.000450912
18,704.765,0.42453,1.13404,0.97802,0.99425,0.76471,0.892,0.82798,0.38261,2.95987,0.9445,0.00046438,0.00046438,0.00046438
19,803.06,0.47597,1.30618,0.93349,0.93011,0.78371,0.91566,0.82935,0.43554,2.84077,0.98761,0.000476264,0.000476264,0.000476264
20,861.168,0.47742,1.15769,1.07162,0.9808,0.76471,0.91895,0.81965,0.46436,2.83368,1.00888,0.000486564,0.000486564,0.000486564
21,896.064,0.45808,1.05048,1.06694,1,0.70008,0.94006,0.81431,0.44304,2.74593,0.98642,0.00049528,0.00049528,0.00049528
22,942.989,0.49278,1.08421,1.09416,1,0.69601,0.96471,0.83805,0.38329,2.62158,0.9702,0.000502412,0.000502412,0.000502412
23,983.561,0.38465,1.05324,0.99294,0.96077,0.76471,0.93424,0.82816,0.44093,2.59004,1.04783,0.00050796,0.00050796,0.00050796
24,1015.99,0.47027,0.9741,1.02112,0.96873,0.82353,0.95341,0.86761,0.4737,2.44847,1.0592,0.000511924,0.000511924,0.000511924
25,1058.53,0.51657,1.0842,1.09999,0.93256,0.94118,0.97338,0.86676,0.43518,2.29633,1.00469,0.000514304,0.000514304,0.000514304
26,1091.66,0.43533,0.87401,1.00612,0.93104,1,0.95944,0.84706,0.41362,2.22829,0.98806,0.0005151,0.0005151,0.0005151
27,1121.51,0.49649,0.9087,1.02714,0.88925,1,0.95816,0.85499,0.48242,2.0594,1.0694,0.000514312,0.000514312,0.000514312
28,1159.07,0.63215,1.45799,1.15722,0.88925,1,0.95816,0.85499,0.48242,2.0594,1.0694,0.00051194,0.00051194,0.00051194
